No;Kode Wilayah;Kabupaten_Kota;Provinsi;Tahun;Penduduk_Miskin (%);Konsumsi_Protein (Gram);Konsumsi_Energi (Gram);Konsumsi_Lemak (Gram);Konsumsi_Sayur_dan_Buah (Gram);Skor Konsumsi Gizi
39;1215;Kabupaten Pakpak Bharat;Sumatera Utara;2021;9.35;65.1;2279;11.35;83.64;116.64
40;1217;Kabupaten Samosir;Sumatera Utara;2021;12.68;71.1;2301;11.66;93.22;126.58
41;1218;Kabupaten Serdang Bedagai;Sumatera Utara;2021;8.3;62.2;2147;12.87;83;114.25
42;1219;Kabupaten Batu Bara;Sumatera Utara;2021;12.38;62.2;2147;12.87;83;114.25
43;1220;Kabupaten Padang Lawas Utara;Sumatera Utara;2021;9.92;66.3;2418;10.8;76.73;113.03
44;1221;Kabupaten Padang Lawas;Sumatera Utara;2021;8.69;60.9;2259;9.44;73.57;106.42
45;1222;Kabupaten Labuhan Batu Selatan;Sumatera Utara;2021;8.53;65.7;2260;12.43;76.39;111.49
46;1223;Kabupaten Labuhan Batu Utara;Sumatera Utara;2021;10.02;61.5;2152;11.13;78.05;109.59
47;1224;Kabupaten Nias Utara;Sumatera Utara;2021;25.66;55.9;2111;6.38;47.18;81.58
48;1225;Kabupaten Nias Barat;Sumatera Utara;2021;26.42;52;1993;7.1;50.39;81.63
49;1273;Kota Sibolga;Sumatera Utara;2021;12.33;60.1;1896;9.51;61.93;93.38
50;1274;Kota Tanjung Balai;Sumatera Utara;2021;13.4;67;2160;10.25;78.34;111.61
51;1272;Kota Pematang Siantar;Sumatera Utara;2021;8.52;66.4;2139;12.28;94.77;124.56
52;1276;Kota Tebing Tinggi;Sumatera Utara;2021;10.3;70.4;2148;11.43;93.71;125
53;1271;Kota Medan;Sumatera Utara;2021;8.34;69.8;2164;12.27;90.25;122.6
54;1275;Kota Binjai;Sumatera Utara;2021;5.81;58;1997;12.47;81.81;110.05
55;1277;Kota Padang Sidimpuan;Sumatera Utara;2021;7.53;66.8;2222;13.02;80.05;114.53
56;1278;Kota Gunungsitoli;Sumatera Utara;2021;16.45;56.9;2037;9.31;61.65;93.39
57;1309;Kabupaten Kepulauan Mentawai;Sumatera Barat;2021;14.84;54.6;2121;10.21;68.49;99.01
58;1301;Kabupaten Pesisir Selatan;Sumatera Barat;2021;7.92;54.4;2071;11.58;76.52;105.1
59;1302;Kabupaten Solok;Sumatera Barat;2021;8.01;55.5;2194;14.29;73.41;105.41
60;1303;Kabupaten Sijunjung;Sumatera Barat;2021;6.8;56;2184;12.9;74.51;105.82
61;1304;Kabupaten Tanah Datar;Sumatera Barat;2021;4.54;58.4;2147;12.67;73.28;105.29
62;1305;Kabupaten Padang Pariaman;Sumatera Barat;2021;7.22;57.4;2074;11.58;75.66;105.58
63;1306;Kabupaten Agam;Sumatera Barat;2021;6.85;57;2102;13.28;69.42;101.56
64;1307;Kabupaten Limapuluh Koto;Sumatera Barat;2021;7.29;58.1;2246;12.58;70.26;103.87
65;1308;Kabupaten Pasaman;Sumatera Barat;2021;7.48;61.4;2308;10.24;71.13;105.54
66;1311;Kabupaten Solok Selatan;Sumatera Barat;2021;7.52;59.5;2303;15.3;91.25;122.14
67;1310;Kabupaten Dharmas Raya;Sumatera Barat;2021;6.67;58.1;2149;14.61;83.62;113.87
68;1312;Kabupaten Pasaman Barat;Sumatera Barat;2021;7.51;58.8;2183;9.78;71.94;103.72
69;1371;Kota Padang;Sumatera Barat;2021;4.94;61.6;2053;13.31;79.87;110.79
70;1372;Kota Solok;Sumatera Barat;2021;3.12;57.3;2085;12.26;82.98;111.54
71;1373;Kota Sawah Lunto;Sumatera Barat;2021;2.38;60.3;2162;13.51;78.34;110.36
72;1374;Kota Padang Panjang;Sumatera Barat;2021;5.92;54.6;1910;12.22;72.78;100.84
73;1375;Kota Bukittinggi;Sumatera Barat;2021;5.14;66;2212;12.81;75.43;110.5
74;1376;Kota Payakumbuh;Sumatera Barat;2021;6.16;57.8;1990;11.24;75.73;104.77
75;1377;Kota Pariaman;Sumatera Barat;2021;4.38;60.9;2054;11.12;84.54;113.33
76;1409;Kabupaten Kuantan Sengingi;Riau;2021;8.97;57.4;2169;14.33;71.29;104.24
77;1402;Kabupaten Indragiri Hulu;Riau;2021;6.18;53.9;1982;13.03;76.97;104.86
78;1404;Kabupaten Indragiri Hilir;Riau;2021;6.18;56.4;2081;13.37;62.42;95.76
79;1405;Kabupaten Pelalawan;Riau;2021;9.63;59.6;2141;14.44;77.2;109.34
80;1408;Kabupaten Siak;Riau;2021;5.18;60.8;2124;14.73;81.08;112.7
81;1401;Kabupaten Kampar;Riau;2021;7.82;56;2062;14.63;79.69;109.16
82;1406;Kabupaten Rokan Hulu;Riau;2021;10.4;58.1;2177;13.3;80.44;111.24
83;1403;Kabupaten Bengkalis;Riau;2021;6.64;57.5;2022;13.09;22.76;64.94
84;1407;Kabupaten Rokan Hilir;Riau;2021;7.18;61.9;2164;12.56;77.23;109.76
85;1410;Kabupaten Kepulauan Meranti;Riau;2021;25.68;56.3;2044;12.35;53.67;88.23
86;1471;Kota Pekanbaru;Riau;2021;2.83;58.4;1989;14.35;74.63;105.29
87;1472;Kota Dumai;Riau;2021;3.42;59.7;2040;14.27;72.1;104.33
88;1501;Kabupaten Kerinci;Jambi;2021;7.71;57.3;1974;16.81;94;120.53
89;1502;Kabupaten Merangin;Jambi;2021;9.11;60.2;1995;12.72;79.35;109.05
90;1503;Kabupaten Sarolangun;Jambi;2021;8.87;56.6;1929;13.12;77.88;106.04
91;1504;Kabupaten Batang Hari;Jambi;2021;10.05;66;2243;11.87;68.42;105.08
92;1505;Kabupaten Muaro Jambi;Jambi;2021;4.53;62.5;2124;13.58;101.97;128.97
93;1507;Kabupaten Tanjung Jabung Timur;Jambi;2021;11.39;57.8;1998;13.8;90.23;116.96
94;1506;Kabupaten Tanjung Jabung Barat;Jambi;2021;10.75;59.6;2009;12.15;75.63;105.9
95;1509;Kabupaten Tebo;Jambi;2021;6.68;64.1;2280;13;88.65;120.75
96;1508;Kabupaten Bungo;Jambi;2021;6.23;58.2;2119;13.81;88.39;116.97
97;1571;Kota Jambi;Jambi;2021;9.02;61.8;2118;13.87;86.94;117.2
98;1572;Kota Sungai Penuh;Jambi;2021;3.41;57.4;2063;15.36;84.88;113.96
99;1601;Kabupaten Ogan Komering Ulu;Sumatera Selatan;2021;12.62;58.5;2119;10.1;82.2;110.94
100;1602;Kabupaten Ogan Komering Ilir;Sumatera Selatan;2021;14.68;67.1;2385;12.2;104.2;134.63
101;1603;Kabupaten Muara Enim;Sumatera Selatan;2021;12.32;58.8;2142;10.3;71.7;103.29
102;1604;Kabupaten Lahat;Sumatera Selatan;2021;16.46;63.6;2291;11;97.8;126.98
103;1605;Kabupaten Musi Rawas;Sumatera Selatan;2021;13.89;59.5;2153;11.3;90.8;118.73
104;1606;Kabupaten Musi Banyuasin;Sumatera Selatan;2021;15.84;62.4;2252;11.9;83.9;115.76
105;1607;Kabupaten Banyuasin;Sumatera Selatan;2021;10.75;73;2459;12.4;95.3;130.82
106;1609;Kabupaten Ogan Komering Ulu Selatan;Sumatera Selatan;2021;11.12;54.2;2083;10.9;94.9;119.04
107;1608;Kabupaten Ogan Komering Ulu Timur;Sumatera Selatan;2021;10.6;68.7;2336;12;101.5;132.56
108;1610;Kabupaten Ogan Ilir;Sumatera Selatan;2021;13.82;60.2;2182;10.4;77.8;108.96
109;1611;Kabupaten Empat Lawang;Sumatera Selatan;2021;13.35;55.3;2150;9.3;83.2;110.56
110;1612;Kabupaten Penukal Abab Lematang Ilir;Sumatera Selatan;2021;12.91;56.8;2178;10.3;63.3;96.47
111;1613;Kabupaten Musi Rawas Utara;Sumatera Selatan;2021;20.11;61.7;2194;10.9;76.4;108.75
112;1671;Kota Palembang;Sumatera Selatan;2021;11.34;65.3;2161;10.2;78.9;111.4
113;1674;Kota Prabumulih;Sumatera Selatan;2021;12.2;53.3;1871;9.4;62.7;91.15
114;1672;Kota Pagar Alam;Sumatera Selatan;2021;9.4;64.8;2224;11.3;100.8;129.13
115;1673;Kota Lubuklinggau;Sumatera Selatan;2021;13.23;69.1;2255;10.7;93;124.83
116;1701;Kabupaten Bengkulu Selatan;Bengkulu;2021;18.16;59.6;2114;8.78;83.27;111.63
117;1702;Kabupaten Rejang Lebong;Bengkulu;2021;15.85;59.7;2173;11.65;96.43;123.48
118;1703;Kabupaten Bengkulu Utara;Bengkulu;2021;11.61;60.6;2233;12.61;102.07;129.14
119;1704;Kabupaten Kaur;Bengkulu;2021;18.62;62.6;2374;9.03;87.43;118.77
120;1705;Kabupaten Seluma;Bengkulu;2021;18.72;54.4;2029;9.08;77.48;104.47
121;1706;Kabupaten Mukomuko;Bengkulu;2021;11.93;59.1;2088;11.32;93.67;120.11
122;1707;Kabupaten Lebong;Bengkulu;2021;12;62.8;2308;12.55;103.46;131.79
123;1708;Kabupaten Kepahiang;Bengkulu;2021;14.83;56.4;2233;13.09;102.71;128.25
124;1709;Kabupaten Bengkulu Tengah;Bengkulu;2021;9.68;66.9;2342;11.39;90.19;123.03
125;1771;Kota Bengkulu;Bengkulu;2021;17.89;57.7;1925;12.55;84.87;111.57
126;1804;Kabupaten Lampung Barat;Lampung;2021;12.82;58.3;2199;12.52;107.57;132.12
127;1806;Kabupaten Tanggamus;Lampung;2021;11.81;55.5;2066;11.13;93.03;117.99
128;1801;Kabupaten Lampung Selatan;Lampung;2021;14.19;61.4;2168;13.16;102.88;129.57
129;1807;Kabupaten Lampung Timur;Lampung;2021;15.08;57;2083;12.12;100.84;125.1
130;1802;Kabupaten Lampung Tengah;Lampung;2021;11.99;59.6;2232;13.05;95.66;123.99
131;1803;Kabupaten Lampung Utara;Lampung;2021;19.63;50.4;1930;12.19;85.69;109.41
132;1808;Kabupaten Way Kanan;Lampung;2021;13.09;57.4;2173;12.33;104.62;129.18
133;1805;Kabupaten Tulang Bawang;Lampung;2021;9.67;52.5;1893;10.57;84.23;108.08
134;1809;Kabupaten Pesawaran;Lampung;2021;15.11;60.2;2190;13.25;110.29;135.09
135;1810;Kabupaten Pringsewu;Lampung;2021;10.11;57.2;2151;13.91;107.99;132.05
136;1811;Kabupaten Mesuji;Lampung;2021;7.54;55.3;2025;11.95;88.84;114.56
137;1812;Kabupaten Tulang Bawang Barat;Lampung;2021;8.32;48.2;1811;10.82;83.3;105
138;1813;Kabupaten Pesisir Barat;Lampung;2021;14.81;55.3;2027;10.39;93.36;117.48
139;1871;Kota Bandar Lampung;Lampung;2021;9.11;62.1;2063;12.09;83.06;113.09
140;1872;Kota Metro;Lampung;2021;8.93;61.7;2075;11.74;97.75;124.23
141;1901;Kabupaten Bangka;Kep. Bangka Belitung;2021;4.81;66.5;2095;8.67;77.24;109.31
142;1902;Kabupaten Belitung;Kep. Bangka Belitung;2021;7.15;64.1;2133;8.67;77.24;108.82
143;1905;Kabupaten Bangka Barat;Kep. Bangka Belitung;2021;2.75;65;2226;9.6;73.11;107.3
144;1904;Kabupaten Bangka Tengah;Kep. Bangka Belitung;2021;5.13;63.7;2107;9.61;78.33;109.58
145;1903;Kabupaten Bangka Selatan;Kep. Bangka Belitung;2021;3.69;62;2101;8.94;62.99;96.84
146;1906;Kabupaten Belitung Timur;Kep. Bangka Belitung;2021;7.2;67.4;2143;11.58;57.54;96.07
147;1971;Kota Pangkal Pinang;Kep. Bangka Belitung;2021;4.76;64;1999;3.82;29.07;68.52
148;2102;Kabupaten Karimun;Kep. Riau;2021;6.12;63.1;2027;12.72;75.03;107.13
149;2101;Kabupaten Bintan;Kep. Riau;2021;6.85;62.1;2027;13.83;78.13;109.56
150;2103;Kabupaten Natuna;Kep. Riau;2021;6.42;60.9;2031;12.16;57.79;92.89
151;2104;Kabupaten Lingga;Kep. Riau;2021;4.95;63.3;2158;13.26;51.89;90.99
152;2105;Kabupaten Kepulauan Anambas;Kep. Riau;2021;13.93;52.7;1888;16.24;35.86;72.99
153;2171;Kota Batam;Kep. Riau;2021;7.09;73.9;2211;13.87;89.09;124.31
154;2172;Kota Tanjung Pinang;Kep. Riau;2021;5.05;67.8;2036;12.19;79.4;112.13
155;3101;Kabupaten Kepulauan Seribu;DKI Jakarta;2021;9.57;63.7;2035;10.19;77.89;108.7
156;3174;Kota Jakarta Selatan;DKI Jakarta;2021;3.56;66.4;2167;9.85;64.11;100.37
157;3175;Kota Jakarta Timur;DKI Jakarta;2021;4.28;69.6;2200;11.8;89.3;122
158;3171;Kota Jakarta Pusat;DKI Jakarta;2021;4.94;71.5;2252;8.82;63.13;102.01
159;3173;Kota Jakarta Barat;DKI Jakarta;2021;4.31;70.8;2227;11.11;59.31;99.4
160;3172;Kota Jakarta Utara;DKI Jakarta;2021;7.24;75.7;2313;9.59;56.3;99.24
161;3201;Kabupaten Bogor;Jawa Barat;2021;8.13;59.5;2128;11.95;75.61;107.02
162;3202;Kabupaten Sukabumi;Jawa Barat;2021;7.7;66.9;2377;11.32;88.54;122.1
163;3203;Kabupaten Cianjur;Jawa Barat;2021;11.18;64.5;2309;10.48;77.56;111.74
164;3204;Kabupaten Bandung;Jawa Barat;2021;7.15;61.6;2166;11.45;69.51;103.32
165;3205;Kabupaten Garut;Jawa Barat;2021;10.65;52.9;1996;9.35;64.64;93.79
166;3206;Kabupaten Tasikmalaya;Jawa Barat;2021;11.15;59.5;2116;9.72;70.72;102.31
167;3207;Kabupaten Ciamis;Jawa Barat;2021;7.97;67.5;2308;10.29;95.29;126.41
168;3208;Kabupaten Kuningan;Jawa Barat;2021;13.1;66;2435;11.05;99.18;130.46
169;3209;Kabupaten Cirebon;Jawa Barat;2021;12.3;75.2;2409;8.34;83.11;120.23
170;3210;Kabupaten Majalengka;Jawa Barat;2021;12.33;69.2;2369;9.66;93.79;126.29
171;3211;Kabupaten Sumedang;Jawa Barat;2021;10.71;65.5;2313;11.58;78.98;113.65
172;3212;Kabupaten Indramayu;Jawa Barat;2021;13.04;79.6;2542;10.26;115.67;149.02
173;3213;Kabupaten Subang;Jawa Barat;2021;10.03;69;2271;10.36;89.06;121.81
174;3214;Kabupaten Purwakarta;Jawa Barat;2021;8.83;66.3;2324;11.26;82.13;116.37
175;3215;Kabupaten Karawang;Jawa Barat;2021;8.95;67.8;2228;9.71;84.18;116.91
176;3216;Kabupaten Bekasi;Jawa Barat;2021;5.21;64.5;2183;11.61;78.631;111.65
177;3217;Kabupaten Bandung Barat;Jawa Barat;2021;11.3;57.3;2067;10.9;69.28;100.31
178;3218;Kabupaten Pangandaran;Jawa Barat;2021;9.65;68.4;2366;11.52;98.96;130.63
179;3271;Kota Bogor;Jawa Barat;2021;7.24;61;2089;11.74;74.786;106.46
180;3272;Kota Sukabumi;Jawa Barat;2021;8.25;63.9;2133;10.26;81.52;112.63
181;3273;Kota Bandung;Jawa Barat;2021;4.37;66.6;2160;11.85;75.5;109.87
182;3274;Kota Cirebon;Jawa Barat;2021;10.03;63.6;2054;9.33;77.11;107.95
183;3275;Kota Bekasi;Jawa Barat;2021;4.74;68.9;2179;11.28;89.5;121.48
184;3276;Kota Depok;Jawa Barat;2021;2.58;64.7;2096;11.48;82.9;114.05
185;3277;Kota Cimahi;Jawa Barat;2021;5.35;60.7;1981;10.84;69.89;101.11
186;3278;Kota Tasikmalaya;Jawa Barat;2021;13.13;70.1;2346;9.18;80.89;116.28
187;3279;Kota Banjar;Jawa Barat;2021;7.11;68.5;2414;10.08;105.76;135.87
188;3301;Kabupaten Cilacap;Jawa Tengah;2021;11.67;52.9;1911;12.37;83.16;108.26
189;3302;Kabupaten Banyumas;Jawa Tengah;2021;13.66;63.1;2208;11.95;95.73;124.68
190;3303;Kabupaten  Purbalingga;Jawa Tengah;2021;16.24;51.3;1871;11.56;88.78;111.27
191;3304;Kabupaten Banjarnegara;Jawa Tengah;2021;16.23;63.6;2101;12.44;106.98;132.57
192;3305;Kabupaten Kebumen;Jawa Tengah;2021;17.83;55.4;2056;12.62;99.96;123.73
193;3306;Kabupaten Purworejo;Jawa Tengah;2021;12.4;57.9;1993;10.26;97.31;121.08
194;3307;Kabupaten Wonosobo;Jawa Tengah;2021;17.67;57;1968;11.9;90.2;115.62
195;3308;Kabupaten Magelang;Jawa Tengah;2021;11.91;55.3;1957;11.36;88.42;113.3
196;3309;Kabupaten Boyolali;Jawa Tengah;2021;10.62;54.1;1920;11.24;81.91;107.42
197;3310;Kabupaten Klaten;Jawa Tengah;2021;13.49;56.4;1966;9.93;80.76;107.38
198;3311;Kabupaten Sukoharjo;Jawa Tengah;2021;8.23;56.2;1958;10.66;86.54;111.94
199;3312;Kabupaten Wonogiri;Jawa Tengah;2021;11.55;56.1;1961;12.16;88.66;114.12
200;3313;Kabupaten Karanganyar;Jawa Tengah;2021;10.68;55.1;1905;10.81;86.52;111.02
201;3314;Kabupaten Sragen;Jawa Tengah;2021;13.83;59.1;2103;12.92;114.28;136.72
202;3315;Kabupaten Grobogan;Jawa Tengah;2021;12.74;58.1;2105;11.65;94.58;120.75
203;3316;Kabupaten Blora;Jawa Tengah;2021;12.39;60.1;2152;10.2;86.18;114.98
204;3317;Kabupaten Rembang;Jawa Tengah;2021;15.8;64.1;2105;11.22;82.31;113.37
205;3318;Kabupaten Pati;Jawa Tengah;2021;10.21;64.3;2049;10.27;88.33;117.13
206;3319;Kabupaten Kudus;Jawa Tengah;2021;7.6;60.3;1942;10.96;80.51;108.77
207;3320;Kabupaten Jepara;Jawa Tengah;2021;7.44;58;1920;9.13;82.77;108.74
208;3321;Kabupaten Demak;Jawa Tengah;2021;12.92;65.6;2200;9.91;94.98;124.19
209;3322;Kabupaten Semarang;Jawa Tengah;2021;7.82;57;1999;12.07;88.93;115.03
210;3323;Kabupaten Temanggung;Jawa Tengah;2021;10.17;51.1;1851;9.91;82.93;105.87
211;3324;Kabupaten Kendal;Jawa Tengah;2021;10.24;65.1;2127;9.63;89.23;118.71
212;3325;Kabupaten Batang ;Jawa Tengah;2021;9.68;68.4;2205;9.27;84.9;117.28
213;3326;Kabupaten Pekalongan;Jawa Tengah;2021;10.57;66.4;2172;8.91;82.03;113.86
214;3327;Kabupaten Pemalang;Jawa Tengah;2021;16.56;72.4;2391;9.48;89.24;124.14
215;3328;Kabupaten Tegal;Jawa Tengah;2021;8.6;66.7;2232;10.11;78.3;112.17
216;3329;Kabupaten Brebes;Jawa Tengah;2021;17.43;62.9;2127;8.75;75.07;106.67
217;3371;Kota Magelang;Jawa Tengah;2021;7.75;55.3;1957;9.81;91.42;115.04
218;3372;Kota Surakarta;Jawa Tengah;2021;9.4;63.4;1989;9.36;83.75;112.31
219;3373;Kota Salatiga;Jawa Tengah;2021;5.14;64.9;2057;12.8;96.61;124.75
220;3374;Kota Semarang;Jawa Tengah;2021;4.56;62.5;2008;11.82;83.13;112.61
221;3375;Kota Pekalongan;Jawa Tengah;2021;7.59;62.4;2020;7.56;63.73;96.2
222;3376;Kota Tegal;Jawa Tengah;2021;8.12;69.2;2197;7.74;70.95;106.2
223;3401;Kabupaten Kulon Progo;DI Yogyakarta;2021;18.38;56.4;1990;10.9;89.2;114.49
224;3402;Kabupaten Bantul;DI Yogyakarta;2021;14.04;63.1;2092;11.1;92.3;120.5
225;3403;Kabupaten Gunung Kidul;DI Yogyakarta;2021;17.69;61.3;2184;8.6;91.5;119.26
226;3404;Kabupaten Sleman;DI Yogyakarta;2021;8.64;73;2291;10.6;100.4;132.31
227;3471;Kota Yogyakarta;DI Yogyakarta;2021;7.69;64.1;1933;8.8;79.5;108.5
228;3501;Kabupaten Pacitan;Jawa Timur;2021;15.11;53.8;2046;11.55;94.51;118.44
229;3502;Kabupaten Ponorogo;Jawa Timur;2021;10.26;56.1;2029;9.13;96.33;119.62
230;3503;Kabupaten Trenggalek;Jawa Timur;2021;12.14;57.2;2060;9.69;93.92;118.7
231;3504;Kabupaten Tulungagung;Jawa Timur;2021;7.51;58.5;2030;9.86;107.9;129.69
232;3505;Kabupaten Blitar;Jawa Timur;2021;9.65;55;2062;11.39;102.32;125
233;3506;Kabupaten Kediri;Jawa Timur;2021;11.64;58.5;2131;11.32;104.87;128.96
234;3507;Kabupaten Malang;Jawa Timur;2021;10.5;55.2;2008;10.49;92;116.24
235;3508;Kabupaten Lumajang;Jawa Timur;2021;10.05;66.1;2313;11.92;114.67;141.45
236;3509;Kabupaten Jember;Jawa Timur;2021;10.41;63.5;2247;12.34;102.19;130.35
237;3510;Kabupaten Banyuwangi;Jawa Timur;2021;8.07;60.7;2147;12.51;94.58;122.47
238;3511;Kabupaten Bondowoso;Jawa Timur;2021;14.73;61;2135;10.3;81.91;111.89
239;3512;Kabupaten Situbondo;Jawa Timur;2021;12.63;71.9;2182;10.87;76.25;112.28
240;3513;Kabupaten Probolinggo;Jawa Timur;2021;18.91;59.7;2068;10.04;65.38;97.89
241;3514;Kabupaten Pasuruan;Jawa Timur;2021;9.7;64.2;2220;10.6;70.57;105.36
242;3515;Kabupaten Sidoarjo;Jawa Timur;2021;5.93;60.8;2012;12.13;81.45;110.84
243;3516;Kabupaten Mojokerto;Jawa Timur;2021;10.62;62.4;2161;11.43;91.44;120.43
244;3517;Kabupaten Jombang;Jawa Timur;2021;10;63.2;2188;12.19;92.87;122.39
245;3518;Kabupaten Nganjuk;Jawa Timur;2021;11.85;60.4;2148;11.92;99.03;125.57
246;3519;Kabupaten Madiun;Jawa Timur;2021;11.91;58.7;2116;11.04;92.35;119.14
247;3520;Kabupaten Magetan;Jawa Timur;2021;10.66;56.4;2072;10.52;94.3;119.13
248;3521;Kabupaten Ngawi;Jawa Timur;2021;15.57;58.7;2198;11.14;94.85;121.97
249;3522;Kabupaten Bojonegoro;Jawa Timur;2021;13.27;57.1;2132;12.5;77.69;107.98
250;3523;Kabupaten Tuban;Jawa Timur;2021;16.31;63.9;2140;10.48;81.64;112.87
251;3524;Kabupaten Lamongan;Jawa Timur;2021;13.86;64.2;2186;10.97;77.65;110.58
252;3525;Kabupaten Gresik;Jawa Timur;2021;12.42;64.4;2101;11.24;84.3;114.98
253;3526;Kabupaten Bangkalan;Jawa Timur;2021;21.57;54.2;1928;10.37;57.84;88.7
254;3527;Kabupaten Sampang;Jawa Timur;2021;23.76;59.4;2012;9.3;45.76;81.82
255;3528;Kabupaten Pamekasan;Jawa Timur;2021;15.3;52.9;1852;9.27;45.91;77.84
256;3529;Kabupaten Sumenep;Jawa Timur;2021;20.51;78;2565;10.55;78.67;120.31
257;3571;Kota Kediri;Jawa Timur;2021;7.75;63.9;2114;10.95;94.58;122.73
258;3572;Kota Blitar;Jawa Timur;2021;7.89;60.6;2121;11.77;112.7;135.82
259;3573;Kota Malang;Jawa Timur;2021;4.62;57.7;1900;11.96;80.17;107.47
260;3574;Kota Probolinggo;Jawa Timur;2021;7.44;63;1999;9.88;70.72;102.43
261;3575;Kota Pasuruan;Jawa Timur;2021;6.88;61.5;2013;9.2;69.24;100.64
262;3576;Kota Mojokerto;Jawa Timur;2021;6.39;61.3;1953;10.51;76.84;106.26
263;3577;Kota Madiun;Jawa Timur;2021;5.09;63.1;2050;10.33;95.39;122.15
264;3578;Kota Surabaya;Jawa Timur;2021;5.23;64.1;2088;12.25;90.65;119.99
265;3579;Kota Batu;Jawa Timur;2021;4.09;56.2;1934;22.46;89.73;118.51
266;3601;Kabupaten Pandeglang;Banten;2021;10.72;59.7;2216;11.98;69.87;103.62
267;3602;Kabupaten Lebak;Banten;2021;10.29;70.6;2550;12.33;90.23;126.96
268;3603;Kabupaten Tangerang;Banten;2021;7.12;77.1;2292;13.82;87.15;124.84
269;3604;Kabupaten Serang;Banten;2021;5.49;59.6;2160;12.81;70.67;103.92
